TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BPAC11;50,65;2,46;11,2;2,52;0,23;21,43;29,09;26,78;10,31;10,31;;;3;-0,31;-0,23;0,01;22,52;2,07;;0,09;0,9;0,08;16,36;39,92;558963969,59;20,08;4,52;0,2;197029571517,63
BPAC3;22,23;1,87;14,75;3,32;0,31;21,43;29,09;26,78;13,58;10,31;;;3,95;-0,41;-0,31;0,01;22,52;2,07;;0,09;0,9;0,08;16,36;39,92;416004,05;6,69;1,51;0,26;197029571517,63
OPCT3;10,13;0,96;16,66;2,02;0,6;27,43;15,66;5,6;5,96;10,31;4,35;1,48;0,93;3,1;-0,9;2,32;12,12;3,58;9,68;0,3;0,7;0,64;27,13;;4318426,73;5,02;0,61;-0,03;2025590282,02
PRNR3;17,7;;23,32;1,86;0,54;18,6;9,06;2,67;6,87;10,45;3,58;0,97;0,62;3,79;-0,97;1,47;7,98;2,3;8,02;0,29;0,67;0,86;45,21;;10297029,13;9,52;0,76;0,07;1006208538
IRBR3;50,84;2,43;11,87;0,78;0,27;8,45;8,01;7,08;10,48;10,48;;;0,84;1,97;-0,44;1,56;6,59;2,27;;0,34;0,66;0,32;-9,28;;17942383,55;64,94;4,28;-0,24;4160892324,24
BMGB4;5;10,94;5,47;0,65;0,06;33,14;3,52;6,79;10,54;10,54;;;0,37;-0,13;-0,07;0,01;11,89;1,18;;0,1;0,9;0,17;16,75;13,57;6280182,18;7,68;0,91;0,05;3241418480
PETZ3;4,34;;40,37;1,14;0,5;47,09;4,89;1,32;10,9;10,64;-0,26;-0,03;0,53;6,98;-0,79;1,24;2,83;1,24;7,75;0,44;0,56;0,94;20,08;-3,64;23680881;3,8;0,11;-0,18;1957947209,4
BMOB3;23,31;9,16;12,5;2,05;0,98;26,29;8,83;8,91;12,62;10,67;-1,95;-0,32;1,11;3,16;-3,42;1,78;16,39;7,88;12,15;0,48;0,51;0,88;58,14;34,91;17349845,57;11,38;1,87;0,52;1995531617,52
BRST3;2,7;1,52;10,2;0,76;0,29;42,4;14,96;8,46;5,77;10,8;5,03;0,66;0,86;2,92;-0,41;1,54;7,44;2,86;5,71;0,38;0,62;0,34;41,71;35,66;1132132,18;3,56;0,26;-0,86;1182620349,9
TFCO4;14,63;1,06;96,09;23,44;13,75;57,3;19,91;13,23;63,86;10,91;0,53;0,2;12,71;30,62;-45,05;2,83;24,39;14,31;21,23;0,59;0,41;1,08;31,38;40,92;11648982,55;0,62;0,15;6,98;2241579361,95
B3SA3;15,41;3,93;15,69;4,26;1,6;90,46;60,27;42,49;11,06;10,97;-0,09;-0,03;6,67;8,3;-2,54;2,09;27,15;10,2;6,45;0,38;0,62;0,24;3,58;3,6;553367649,86;3,62;0,98;3,32;77766565000
FRAS3;21,7;3,27;24,02;2,53;0,87;32,43;12,54;4,68;8,97;11,1;2,13;0,6;1,12;3,22;-1,68;2,29;10,53;3,63;12,35;0,35;0,65;0,78;26,87;6,1;4334864,41;8,58;0,9;-1,06;6083271474,7
DXCO3;4,6;;492,38;0,61;0,21;25,32;9,67;0,1;5,23;11,2;5,97;0,7;0,51;1,23;-0,33;2,05;0,12;0,04;3,51;0,35;0,63;0,43;7,01;-54,77;13542049,04;7,52;0,01;-5,09;4227557301,6
VIVT3;32,95;3,2;16,69;1,53;0,81;44,93;16,81;10,5;10,43;11,48;1,05;0,15;1,75;41,24;-1,04;1,1;9,17;4,88;9;0,53;0,47;0,46;6,68;5,96;170488006,05;21,54;1,97;1,44;106314711194,9
